"","SLY_SPI","SLY_SHA","SLY_SPE","SPI_SHA","SPI_SPE","SHA_SPE"
"Solyc01g080580.2.1",0.065142611720366,0.00189792745337142,0.00242058053506484,1,1,1
"Solyc04g077470.2.1",0.0835237262153456,0.0181215296757363,0.0387359234465825,1,1,1
"Solyc08g007640.1.1",1,0.00289287431568131,0.00880791696516397,0.0569424724770481,0.0547123380270546,1
"Solyc12g044910.1.1",1,0.0417052793577491,0.00488012796459211,1,0.275048168003486,0.595213200171652
"Solyc04g008430.1.1",1,0.296087025340450,0.58572631541654,0.414936057568365,0.448493385732653,0.0245730404571648
"Solyc06g071120.2.1",1,1,0.00996783941843642,1,0.0211797592764160,0.00320019859251988
"Solyc06g071880.2.1",0.0199922963447595,1,0.0114762642972819,0.0178695769707297,8.29204382315597e-05,0.00095421826454137
"Solyc01g090560.2.1",1,1,0.0129491597642159,0.782324950616899,0.00223133861604430,0.00119490562179312
"Solyc09g091930.2.1",1,0.244830998070481,0.0465950556723404,0.536367103351457,0.585955417796881,0.00343943602759893
"Solyc04g014400.2.1",0.000100994878486709,6.64196074155517e-05,0.0118503732039445,1,0.000801982473823652,0.000578685790492725
"Solyc02g067470.2.1",1,0.00026842088245268,0.00389514173493311,0.000300150859692609,0.00443064136078535,0.0755948516398143
"Solyc11g065110.1.1",0.0060081500534668,0.0132065893603292,0.855501187991107,0.000165687424333891,0.00142682528928698,0.479172064324975
"Solyc03g113620.2.1",0.0022429069037692,0.00989078908157914,0.000592553153248261,1,6.39918734171214e-05,8.85067529664727e-05
"Solyc01g007740.2.1",1,0.0280901014883195,0.487257755632581,0.00495529410816628,0.0513225437121413,0.80538521303761
"Solyc08g067540.1.1",0.167869043517907,1,0.000269624268382188,0.776177111398724,3.9192487470956e-05,0.000102701341006531
"Solyc07g045100.1.1",0.00276935261471197,0.0248851798919236,0.495088411948972,1,0.491107852315776,1
"Solyc09g011340.2.1",1,0.00186271557137767,0.182691934752908,0.0226400945038442,1,0.0206887419507371
"Solyc05g013570.2.1",1,0.0203734376524326,0.0751446006470536,0.0091564122464307,0.0367155152059592,1
"Solyc06g033980.2.1",0.00612431064572036,0.0572912135675739,0.00612431064572036,1,1,1
"Solyc04g011580.2.1",0.833174609377667,1,0.00138089545368663,0.578494495036685,0.00892024242962208,0.00177704628730952
"Solyc12g056760.1.1",1,0.00118366721419026,1,0.0178930334982484,1,0.00663879428242412
"Solyc02g089870.1.1",1,0.0680390658484884,0.079708747084583,0.00266149555983788,0.00516503314390093,1
"Solyc03g112070.2.1",0.0252201799993866,0.219337681874764,0.0114233974706930,1,6.41200512769274e-05,0.00224099730532557
"Solyc08g062180.1.1",1,0.431597936483924,0.71461597154332,0.0832477372247563,0.186563387109987,0.00490101096310482
"Solyc09g018650.2.1",1,1,0.0189347714077175,1,0.0240955834526273,0.0847364444120161
"Solyc02g065770.2.1",0.253810061247670,1,0.000154801396905327,0.0493023215473458,0.000412075965188472,0.000248724071884907
"Solyc04g077240.2.1",0.240521843013153,0.305996360987657,0.00312127547201612,1,0.0120085774173686,0.0866905699905521
"Solyc08g007690.1.1",0.102029356338105,0.000739068360884715,0.128196946412333,0.0181835241601143,0.00115600961976214,7.49504298518905e-05
"Solyc11g011660.1.1",1,0.0718958777676626,1,2.78121340499428e-05,1,0.00449496247816211
"Solyc10g080680.1.1",0.0121460856414994,0.504887119931724,1,0.0789596342104899,0.0252399148037697,1
"Solyc09g082170.2.1",0.00226757041901401,0.00262203770674886,0.108017179790945,1,0.348917094642521,0.558554053784204
"Solyc01g111710.2.1",0.214861696227386,0.0634633998264916,1,1,0.031172768498586,0.0115307062186593
"Solyc10g080950.1.1",1,0.0108307794872464,1,0.252563812614517,0.667313252288583,0.00203320513703168
"Solyc03g083000.2.1",1,1,0.000179213948030084,1,0.000215999418254095,0.000899117980380557
"Solyc06g036250.1.1",0.467802249010812,9.6287515028261e-13,8.4865294677859e-07,9.757235542629e-08,3.31357680368542e-06,0.168513775665371
"Solyc01g086990.2.1",1,1,0.012203863576512,1,0.0007577396791928,0.00368682629263752
"Solyc12g044250.1.1",0.108206109957473,0.00128269274756194,0.351482058758556,0.284656690828972,1,0.079601970378924
"Solyc02g020900.1.1",0.00125875953505194,2.90490173870606e-05,1,0.417195422238932,0.000682966274146768,8.28830564662294e-06
"Solyc09g005760.2.1",0.0198157758601973,0.51345655972724,1,0.312236877631515,0.00179251587911941,0.0166692947514080
"Solyc06g060230.2.1",1,1,0.113257115298843,1,0.0204221167317715,0.209597104182257
"Solyc07g066100.2.1",0.130123928658244,9.11642422837466e-06,8.36665391761302e-05,0.188654068102693,0.361520407081058,1
"Solyc01g094790.2.1",8.91866387530373e-05,0.0285686047064945,0.0717782437166091,0.0151382778006676,0.00450606465923832,1
"Solyc09g090900.2.1",0.812368528854375,0.103169191642671,1,0.0123820726057113,0.271498333822817,0.632875529623553
"Solyc04g017750.2.1",0.463391014069516,0.00994726289478424,1,0.265870505506299,1,0.058723680601333
"Solyc01g094290.2.1",0.139040792980314,0.00213092271040485,1,0.0459750461898903,0.0237843801327481,0.000960306790059516
"Solyc01g009010.2.1",1,1,0.0007314797518998,1,0.000220621879795922,0.000602731668787674
"Solyc05g011890.1.1",0.0727064209997753,0.0196609481429002,0.04212960330815,1,1,1
"Solyc03g063140.2.1",1,1,0.0781063888960596,1,0.0205371866185704,0.0263761434664736
"Solyc03g111720.2.1",0.051010590838407,0.0256326716141755,0.000710376055343959,1,0.000270378189384225,0.000243608399558603
"Solyc06g068740.2.1",1,0.398989975996726,0.0592965767905864,0.0771983763541585,1,0.00193997999895068
"Solyc05g039950.1.1",0.422901369983742,1.77033294186743e-05,0.0196592594630741,3.67800952718386e-05,0.253300120607475,0.150238989836662
"Solyc09g090720.2.1",0.143064178209873,0.00701787823503552,1,0.215695443677891,0.251800492722628,0.00950399119777332
"Solyc04g071340.2.1",0.469744680119686,0.00496543963554979,0.527033666616141,0.0191330474863015,1,0.810890077385647
"Solyc03g083170.2.1",1,0.00692811535064428,1,0.0148108252860362,1,0.002973708653707
"Solyc03g121400.1.1",1,0.595475707531325,0.00259927659145302,1,0.00598316912496137,0.0495331996293556
"Solyc02g071350.2.1",0.00371003537012484,0.0182389530330631,0.341511153863,7.5864715866992e-05,0.000359714595653572,1
"Solyc04g051510.1.1",0.379540659119417,0.000501318073361739,0.0338927108772223,0.130035101929439,1,1
"Solyc08g006640.2.1",1,1,0.000109392108724217,0.083321119488875,5.09735372775184e-06,0.000177334426703341
"Solyc02g067260.1.1",1,0.00281978017542164,0.00804813124904465,0.0362022205401291,0.0285319438496840,1
"Solyc06g068350.1.1",1,0.00417308817678135,0.108580405777019,0.00359479911447489,0.0434214183836156,0.15384304124299
"Solyc12g056340.1.1",1,0.712505589908413,0.425528603244383,1,0.00496421484541065,0.000618200097466942
"Solyc03g113970.2.1",1,0.0338491180824868,0.0338491180824868,0.00773108762347327,0.00773108762347327,1
