"","SLY","SPI","SHA","SPE"
"Solyc07g045400.1.1",2.28571428571429,2.71428571428571,1.00000001752147,1.00000000001737
"Solyc04g039980.2.1",3.42857142857264,3.71428571566151,3.57142857230886,4.00000000013799
"Solyc04g026350.2.1",46.1428571428861,55.0000000005036,48.2857143013837,56.5714285728027
"Solyc11g007780.1.1",28.2857142857143,33.4285714285715,26.1428571428571,25.4285714285714
"Solyc06g076960.1.1",5.85714285714286,2.85714285714286,7.71428571428571,10.5714285714286
"Solyc05g046140.2.1",15.8571428571429,4.28571428571428,0.714285714285714,0.285714285715784
"Solyc03g119150.2.1",294.857142857143,192.285714285714,174,191.142857142857
"Solyc09g008080.2.1",4.85714285714286,6.85714285714286,1.85714285845061,14.2857142857143
"Solyc08g077370.2.1",1.28571428571428,0.857142857142857,5.57142857142857,0.857142857143386
"Solyc08g014350.1.1",0.57142857142869,1.71428571428571,4,5.28571428571429
"Solyc08g007510.2.1",5.00000000030609,3.85714285740613,5.42857142858015,4.8571428572113
"Solyc06g074170.2.1",3.57142857144608,3.85714285714399,4.42857142857222,8.85714285723782
"Solyc05g009100.2.1",45.4285714285714,50.4285714285714,68,61.1428571428571
"Solyc06g051970.2.1",2.42857142857143,3.42857142857143,2.71428571428571,6.14285714285714
"Solyc03g112910.2.1",221.714285714286,173,202.285714285714,243.857142857143
"Solyc01g112370.2.1",3.42857142857407,4.00000000000214,5.71428571450454,3.42857143594628
"Solyc06g005590.2.1",53.8571428571429,48.1428571428572,64,35.4285714285715
"Solyc09g075200.2.1",90.7142857142856,115.428571428571,108.857142857143,70.4285714285725
"Solyc03g114280.2.1",24.0000000000000,27.1428571428866,23.8571428571429,30.5714285714325
"Solyc09g009250.2.1",3.42857142857143,1.71428571428571,2.42857142857148,4.28571428571429
"Solyc10g083960.1.1",30.5714285714287,32.8571428571429,34.7142857142858,23.5714285714286
"Solyc02g093950.2.1",19.857142857149,24.8571428571429,24.8571428571439,31.2857142857143
"Solyc12g096240.1.1",1.12535174720277e-08,0.571428571428577,0.857142857142867,2.14285714285715
"Solyc10g081350.1.1",40.0000000000020,37.2857142857147,24.8571428571429,26.1428571428571
"Solyc02g080990.1.1",67.2857142857143,95.1428571428571,70.8571428571429,60.8571428571429
"Solyc02g090250.2.1",8.71428571428572,3.14285714285714,0.285714285715784,1.28571428571429
"Solyc06g065310.2.1",6.85714285714353,8.2857142857143,13.1428571428571,8.57142857142877
"Solyc04g055200.2.1",146,154.857142857143,130.857142857143,83.7142857142858
"Solyc06g049030.2.1",45.7142857142887,36.8571428571462,37.4285714286311,94.142857142925
"Solyc03g051790.2.1",57,54,53.8571428571429,41.7142857142859
"Solyc08g060840.1.1",56.0000000000002,59.5714285714287,53.5714285714287,47.4285714285715
"Solyc04g050930.2.1",227.285714285715,240.571428571429,184.714285714286,238.714285714286
"Solyc01g080640.2.1",98.4285714285715,85.7142857142856,81,164.142857259884
"Solyc11g064860.1.1",8,7.42857142857143,6.42857142857143,4.71428571428571
"Solyc11g005280.1.1",6.42857142857142,7.85714285714285,14.4285714285714,4.71428571428574
"Solyc01g103750.2.1",47.2857142857143,53.4285714285715,66.5714285714348,21.7142857142894
"Solyc12g014560.1.1",8.00000000000003,9.71428571428573,7.14285714285716,4.13993771879318e-09
"Solyc10g018010.1.1",0.428571428571428,0.285714285714285,4.13993771880439e-09,4.28571428571428
"Solyc02g063490.2.1",38.8571428571428,43.7142857142857,32.7142857142857,56.5714285714285
"Solyc12g044230.1.1",45.1428571428572,30.2857142857143,31.1428571428572,32.7142857142889
"Solyc01g100300.2.1",2.14285714285728,2.42857142857143,2.28571428571429,2.57142857142857
"Solyc06g065820.2.1",12.8571428571429,4.85714285714285,2.00000000000233,3.14285714285714
"Solyc10g007840.2.1",55.4285714285714,70.8571428571429,90,35.1428571428571
"Solyc08g082820.2.1",407.857142857144,487.714285714287,642.428571428573,309.714285714286
"Solyc02g092510.2.1",11.8571428571482,23.1428571428571,22.2857142857143,15.5714285714286
"Solyc09g075400.2.1",3,0.428571428611995,1.42857142861922,89.7142857142857
"Solyc04g081060.2.1",1.71428571428694,3.28571428571429,2.85714285999646,2.28571428571429
"Solyc01g090490.1.1",4.85714285714286,5,3.42857142857148,7.85714285714286
"Solyc03g116840.1.1",15.0000000006866,25.2857142857143,19.4285714285715,9.2857142857143
"Solyc01g091200.2.1",79.2857142857141,69.1428571428571,81.4285714285714,61.1428571428571
"Solyc06g083190.2.1",506.142857169648,736.714285714645,589.000000009185,265.000000004513
"Solyc03g120840.1.1",3.42857142857143,3.85714285714286,3.71428571428572,9
"Solyc12g055890.1.1",1.71428571428572,0.714285714285714,0.571428571428572,4.13993771878529e-09
"Solyc11g008620.1.1",1141.14285714286,1476.85714285714,1737.28571428571,1637.85714285714
"Solyc08g016070.1.1",43.857142857143,39.7142857142858,28.8571428571429,24.7142857142867
"Solyc12g026420.1.1",3.28571428571429,1.71428571428571,1.12535174719363e-08,4.85714285714286
"Solyc05g012310.2.1",22.1428571428571,9.42857142857144,13.7142857142859,21.1428571428599
"Solyc04g072850.2.1",160.285714285714,119.714285714286,331.571428571429,165.428571428572
"Solyc02g070570.2.1",328.142857142856,391.714285714289,562.285714285717,308.142857142856
"Solyc01g112320.2.1",63.7142857142856,68.5714285714285,47.4285714285714,42.5714285714286
"Solyc11g068400.1.1",29.0000000000091,35.5714285716104,49.1428571428573,28.5714285714402
"Solyc05g007870.1.1",15.8571428571436,13.4285714285792,4.28571428575208,4.14285714285777
"Solyc04g078410.2.1",1.85714285714286,2.28571428571429,0.42857142857143,3.42857142857143
"Solyc01g098490.2.1",0.857142857142856,1.12535174718906e-08,1.14285714285714,7.42857142857143
"Solyc11g045350.1.1",81.9999999999999,73.9999999999999,74.5714285714287,74.2857142857142
"Solyc04g050010.1.1",5,1,0.285714285715784,0.142857142857143
"Solyc05g013170.2.1",7.2857142857143,11.5714285714286,10.2857142857143,6.00000000000006
"Solyc01g094220.2.1",4.14285714285714,2.71428571428709,8.42857142857142,3.85714285714286
"Solyc01g010580.2.1",481,616,763.285714285718,373.285714285714
"Solyc01g081480.2.1",160.000000000001,174.857142857143,175.571428571429,155.857142857209
"Solyc06g048610.2.1",13.7142857142857,16.1428571428571,15,13.1428571428571
"Solyc01g006790.2.1",25.2857142859269,20.1428571430289,17.0000000000002,18.0000000011984
"Solyc07g065230.1.1",29.2857142857143,29.5714285714286,33.2857142857144,64.7142857142857
"Solyc01g010060.2.1",1.71428571428611,1.85714285714286,2.42857142857195,24.4285714285714
"Solyc11g008140.1.1",10.0000000000062,14.8571428599352,18.5714285714561,9.57142857145075
"Solyc01g087710.2.1",42.2857142857142,63.8571428571428,72.4285714285722,104.428571428675
"Solyc03g007390.2.1",7.42857142857299,8.00000000000039,5.57142857254517,4.28571428935696
"Solyc11g071190.1.1",0.857142857142996,0.714285719304242,1.85714285714286,1.42857142857143
"Solyc02g090900.2.1",47.0000000000001,55.1428571428572,73.857142857143,44.1428571428572
"Solyc11g005000.1.1",20.4285714285714,22.8571428571529,24.5714285714286,24.1428571428576
"Solyc05g008430.2.1",103.571428571428,84.5714285714284,85.7142857142855,85.7142857142881
"Solyc10g083120.1.1",81.142857142857,82.7142857142857,88,116
"Solyc02g087660.2.1",1.2857142858581,1.00000000001737,2,1.57142857142857
"Solyc01g087360.1.1",0.428571428571430,8,3.85714285714285,7.85714285714286
"Solyc03g019790.2.1",76.5714285714284,68.2857142857334,54.0000000000011,67.857142857143
"Solyc01g094780.2.1",3.85714285714285,5.14285714285714,1.00000003884893,2.42857142896915
"Solyc11g061980.1.1",2.42857142857143,3.71428571428571,2,2.42857142857145
"Solyc04g078690.2.1",73.5714285714308,69.1428571428571,74.2857142857172,76.0000000000022
"Solyc10g005250.2.1",3.42857142857143,3.42857142857143,0.857142857142857,1
"Solyc06g065940.2.1",7.4285714297853,6.42857143186441,7.00000000013173,9.42857142863023
"Solyc06g072960.1.1",1.28571428571429,2.71428571428571,5.57142857142857,2.14285714285714
"Solyc12g014630.1.1",1.57142857142857,0.42857142857143,2.28571428571429,1.14285714287296
"Solyc10g080490.1.1",42.0000000000005,50.2857142857234,43.8571428571535,67
"Solyc03g006140.2.1",208.428571428571,177.571428571428,236.142857142857,190.142857142857
"Solyc10g081080.1.1",20.2857142865362,18.4285714286302,22.4285714285917,16.2857142860152
"Solyc05g054950.2.1",15,14.0000000000068,12.2857142857263,12.4285714285734
"Solyc08g081610.2.1",2.57142857299748,1.14285715039001,1.28571428574408,2.42857146679304
"Solyc07g045460.2.1",8.00000000028869,6.85714285714285,3.28571428571429,9.571428571429
"Solyc02g090100.1.1",370.571428572169,331.571428571676,530.571428571431,645.000000223578
"Solyc04g064680.2.1",27.8571428571429,20.8571428571429,22.7142857142860,16.4285714286521
"Solyc12g011340.1.1",98.714285714286,67.2857142857144,54.7142857142858,56.7142857142858
"Solyc01g068410.2.1",6.71428572148349,3.71428572389501,4.14285716114947,13.857142858391
"Solyc06g060300.1.1",4.42857142857143,3.85714285714285,1.71428571428571,2.85714285714286
"Solyc04g054490.2.1",56.4285714285714,52.5714285714286,33.1428571428572,42.7142857142857
"Solyc04g016390.1.1",3.00000000006084,4.42857142860549,2.71428571428572,3.42857142857173
"Solyc01g087180.2.1",1.14285714285719,5.28571428571429,4.14285714285714,4.42857142857143
"Solyc01g099450.2.1",4.85714285714285,2.28571428571429,3.28571428572531,3.14285714285714
"Solyc11g007390.1.1",1.85714285714286,0.714285714285714,0.571428571428692,3.71428571428571
"Solyc11g062350.1.1",46.1428571428572,39.0000000000004,32.2857142857143,62.5714285714288
"Solyc02g081650.2.1",13.0000000000014,11.1428571428782,16.1428571428667,18.2857142894415
"Solyc01g008820.2.1",85.5714285714284,74.142857142857,92.2857142857143,86.142857142857
"Solyc06g063300.2.1",18.0000000000003,14.5714285714288,22.7142857142857,13.0000000000020
"Solyc09g055870.2.1",50.5714285714285,53.4285714285714,41,36.2857142857143
"Solyc10g083190.1.1",56.4285714285715,61.7142857142905,39.4285714293183,59.0000000000001
"Solyc11g011080.1.1",14.1428571428571,9.5714285714286,22.7142857142898,52.7142857142858
"Solyc05g050900.2.1",6.00000000002044,8.42857142863287,6.00000000042996,9.00000000142176
"Solyc06g054240.2.1",10.0000000000000,7.28571428594561,5.28571428575003,15.4285714285715
"Solyc07g041200.2.1",49.0000000000000,54.2857142857664,57.714285714286,32.2857142857143
"Solyc06g065200.2.1",12.7142857142858,17.2857142857153,12.7142857142857,14.0000000000001
"Solyc12g011180.1.1",14.8571428571429,14.4285714285858,14.5714285724571,11.8571428571546
"Solyc09g018370.2.1",71.4285714285713,91.4285714285714,87.2857142857142,54.5714285714285
"Solyc05g006100.2.1",3.14285714285715,1.57142857142956,1.57142857142857,2.14285714285899
"Solyc10g006970.2.1",287.571428571429,216.571428571429,288.714285714286,271.14285714286
"Solyc03g079850.2.1",6.57142857143225,6.71428571429333,13.0000000000012,11.7142857142892
"Solyc01g006560.2.1",2.28571428571429,10.8571428571429,1.85714285714309,1.28571428574408
"Solyc09g091100.2.1",31.7142857142857,37.4285714285714,32.1428571428571,28.2857142857143
"Solyc03g007280.2.1",10.1428571432473,13.4285714286575,9.0000000073461,7.571428571429
"Solyc03g113550.2.1",5.57142857142856,6,6.28571428571428,7.28571428571428
"Solyc10g005430.2.1",5.60279643758746e-10,5.60279643753758e-10,5.60279643753718e-10,6.99999999999999
"Solyc09g009970.2.1",32.0000000000012,37.0000000000000,36.8571428571429,30.8571428571429
"Solyc02g087340.2.1",371.857142857144,449.428571428573,495.142857142858,345.428571428572
"Solyc10g045620.1.1",63.0000000000002,96.5714285714287,120.714285714286,105.142857142857
"Solyc03g119610.1.1",89.0000000000371,64.2857142857165,72,166.142857176820
"Solyc05g052150.2.1",93.0000000022645,100.142857143716,156.714285716671,78.5714285714735
"Solyc02g080580.1.1",0.714285715918371,1.2857142858581,0.428571428611996,4.14285714285714
"Solyc03g117790.1.1",11.4285714285755,9.14285714285893,21.8571428571429,12.2857142857193
"Solyc04g054730.2.1",67.857142857143,68.1428571428572,55.1428571428574,98.0000000001303
"Solyc01g005120.2.1",74.0000000000002,87,71.4285714285715,82.2857142857144
