"","spe"
"Solyc02g020900.1.1",2.32807735623964e-08
"Solyc01g095670.2.1",0.0332411394181527
"Solyc09g005760.2.1",0.00020544923207604
"Solyc00g053440.2.1",1
"Solyc01g007230.2.1",1
"Solyc06g060230.2.1",0.00733721374317672
"Solyc09g091090.1.1",0.0549238461669494
"Solyc03g083270.2.1",1
"Solyc05g051380.2.1",0.872903663281656
"Solyc09g083030.1.1",0.120722957389229
"Solyc12g010430.1.1",0.182701877960854
"Solyc07g066100.2.1",7.76035582829307e-06
"Solyc06g071040.2.1",1
"Solyc02g072270.2.1",0.156981426610158
"Solyc01g094790.2.1",4.19715418552505e-06
"Solyc10g052530.1.1",0.898057478280256
"Solyc04g008860.2.1",0.309326186800398
"Solyc09g090900.2.1",0.00822098600636451
"Solyc09g005890.2.1",0.872897242369488
"Solyc08g008550.2.1",0.181814952775613
"Solyc06g005220.2.1",0.0346633086895292
"Solyc04g017750.2.1",0.00580230462961483
"Solyc01g094290.2.1",1.38385017463377e-05
"Solyc01g009010.2.1",2.42802341470322e-06
"Solyc06g043170.2.1",1
"Solyc05g011890.1.1",0.000705890033599279
"Solyc03g063140.2.1",0.0040664967480815
"Solyc03g111720.2.1",1.58897183465422e-09
"Solyc04g078860.2.1",0.267511272602650
"Solyc06g068740.2.1",0.00164840320264523
"Solyc05g039950.1.1",4.17601955772456e-06
"Solyc04g008600.2.1",1
"Solyc02g077290.1.1",0.264854427239007
"Solyc09g090720.2.1",0.000474433223647748
"Solyc04g071340.2.1",0.00529505213632732
"Solyc02g070860.2.1",1
"Solyc05g006640.2.1",0.0116771394568538
"Solyc01g086870.2.1",1
"Solyc01g097170.2.1",1
"Solyc08g081570.2.1",0.48609587509608
"Solyc09g075970.2.1",1
"Solyc03g083170.2.1",0.000449330793917342
"Solyc10g007330.1.1",1
"Solyc03g121400.1.1",0.000102128628611333
"Solyc08g082840.1.1",0.0749251127641735
"Solyc02g071350.2.1",7.95207349267004e-07
"Solyc04g014810.2.1",0.729358545202942
"Solyc04g051510.1.1",0.00246975538004019
"Solyc05g009340.1.1",0.0183870899758709
"Solyc01g097000.2.1",1
"Solyc03g083530.2.1",0.0703678905366391
"Solyc02g093810.2.1",1
"Solyc08g006640.2.1",9.76454160587476e-08
"Solyc02g067260.1.1",0.000471217329696617
"Solyc05g014140.1.1",0.783984371886506
"Solyc06g076490.2.1",1
"Solyc08g059710.2.1",0.433573459066897
"Solyc06g068350.1.1",0.000312999503260652
"Solyc07g056320.2.1",0.131909932959934
"Solyc01g108950.1.1",0.0223046194239823
"Solyc12g056340.1.1",0.0025432297308765
"Solyc03g113970.2.1",0.000369470309546599
"Solyc03g120540.2.1",1
"Solyc07g062710.2.1",0.00233933997424881
"Solyc04g080050.2.1",0.00214612291996786
"Solyc07g044920.1.1",0.000140268687169128
"Solyc04g079000.2.1",0.0335677260651097
"Solyc09g064900.1.1",1
"Solyc03g082960.2.1",0.0884127610785273
"Solyc01g088620.2.1",0.118104357046617
"Solyc01g065980.2.1",2.00957017780772e-07
"Solyc02g087010.2.1",0.297981437813306
"Solyc07g043390.2.1",4.89103746444178e-05
"Solyc08g041870.2.1",0.43222645537263
"Solyc02g093020.2.1",0.0632662569802852
"Solyc07g056650.2.1",0.0858108021130009
"Solyc02g093400.1.1",0.707160379735022
"Solyc07g063450.1.1",1
"Solyc10g086420.1.1",2.23322071553112e-05
"Solyc04g009640.2.1",0.857667396737608
"Solyc07g066040.1.1",0.00732158517293534
"Solyc02g078910.2.1",1
"Solyc05g006830.2.1",6.68156955143165e-06
"Solyc12g099080.1.1",0.137963170134101
"Solyc04g012180.2.1",0.0537033282769662
"Solyc09g009380.2.1",0.0474740430472741
"Solyc01g105900.2.1",1
"Solyc02g080380.2.1",0.456523580925573
"Solyc06g069480.2.1",1
"Solyc02g082960.2.1",1
"Solyc05g010610.2.1",0.489531979866208
"Solyc11g069010.1.1",1
"Solyc08g082460.2.1",1
"Solyc08g077560.2.1",0.00785549329964474
"Solyc06g009670.2.1",0.380673890311779
"Solyc04g064660.1.1",1
"Solyc04g007850.2.1",1
"Solyc02g089400.2.1",2.35655520621232e-05
